Folder Name,File Name,File Link,Name_BN,Function_BN,Price,Guide_BN,Related_Keys
PPE,Safety_Helmet_3.webp,https://drive.google.com/file/d/13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5/view?usp=drivesdk,হেলমেট,মাথায় আঘাত থেকে রক্ষা পেতে ব্যবহৃত হয়।,450,স্ট্র্যাপটি শক্ত করে বেঁধে রাখুন। নিয়মিত হেলমেটের ফাটল পরীক্ষা করুন।,
PPE,Full_Body_Harness_2.webp,https://drive.google.com/file/d/13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC/view?usp=drivesdk,সেফটি বেল্ট (হারনেস),উচ্চতায় কাজ করার সময় পতন রোধে ব্যবহৃত হয়।,2500,কোমরের বেল্ট এবং শোল্ডার স্ট্র্যাপ ঠিকভাবে টাইট করুন। ব্যবহারের আগে ডি-রিং পরীক্ষা করুন।,
PPE,Safety_Helmet.webp,https://drive.google.com/file/d/17NOsP6H0KBL-kyMXn9nZAfB-3k14QiLS/view?usp=drivesdk,হেলমেট,মাথায় আঘাত থেকে রক্ষা পেতে ব্যবহৃত হয়।,450,স্ট্র্যাপটি শক্ত করে বেঁধে রাখুন। নিয়মিত হেলমেটের ফাটল পরীক্ষা করুন।,
PPE,Manila_Rope.webp,https://drive.google.com/file/d/1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC/view?usp=drivesdk,ম্যানিলা রোপ (দড়ি),ভারী মালামাল তুলতে বা দড়ি হিসেবে ব্যবহৃত হয়।,,দড়ির কোনো অংশ আলগা বা ছিঁড়ে গেছে কিনা দেখুন। পানি থেকে দূরে রাখুন।,
PPE,Full_Body_Harness_Lanyard_Hook.webp,https://drive.google.com/file/d/1Dfhxu5D6S7chFTvAsiU8NnC-WQL5t63W/view?usp=drivesdk,সেফটি বেল্ট (হারনেস),উচ্চতায় কাজ করার সময় পতন রোধে ব্যবহৃত হয়।,2500,কোমরের বেল্ট এবং শোল্ডার স্ট্র্যাপ ঠিকভাবে টাইট করুন। ব্যবহারের আগে ডি-রিং পরীক্ষা করুন।,
PPE,Lineman_Boot_2.webp,https://drive.google.com/file/d/1EtxY0Gm7TNdLea7f-zk3q81HiZauX7j2/view?usp=drivesdk,সেফটি সু,বৈদ্যুতিক আঘাত এবং পা পিছলে পড়া রোধ করতে ব্যবহৃত হয়।,,ব্যবহারের পর পরিষ্কার রাখুন। সোলের কোনো ফুটো আছে কিনা দেখুন।,
PPE,High_Visibility_Vest_3.webp,https://drive.google.com/file/d/1PygiMYqqr1QClPDVser-ZExOWwbl0btA/view?usp=drivesdk,রিফ্লেক্টিভ জ্যাকেট (ভেস্ট),রাতে বা অল্প আলোতে কর্মীর উপস্থিতি নিশ্চিত করতে ব্যবহৃত হয়।,,সবসময় চেইন বা ভেলক্রো লাগিয়ে কাজ করবেন।,
PPE,Worksite_Hazard_Ribbon.webp,https://drive.google.com/file/d/1QnkOm0ImKOGOSdydswUmfbCntb8ilRde/view?usp=drivesdk,বিপদ চিহ্নিতকারী ফিতা,বিপজ্জনক এলাকা ঘেরাও করতে ব্যবহৃত হয়।,150,অন্তত ৩ ফুট উচ্চতায় দড়ি দিয়ে বাঁধুন।,
PPE,Helmet_Mounted_Torch_2.webp,https://drive.google.com/file/d/1RbSdZDLFDAwqJ1h-nRTDJeE8bUG1v4wV/view?usp=drivesdk,হেলমেট টর্চ,কাজ করার সময় অন্ধকার স্থানে আলো দিতে ব্যবহৃত হয়।,1200,"ব্যাটারি ব্যাকআপ চেক করুন। লেন্স পরিষ্কার রাখুন।",
PPE,Full_Body_Harness_3.webp,https://drive.google.com/file/d/1WtSOdWEFBTk5iQHzpbGYF6joMCipBK7c/view?usp=drivesdk,সেফটি বেল্ট (হারনেস),উচ্চতায় কাজ করার সময় পতন রোধে ব্যবহৃত হয়।,2500,কোমরের বেল্ট এবং শোল্ডার স্ট্র্যাপ ঠিকভাবে টাইট করুন। ব্যবহারের আগে ডি-রিং পরীক্ষা করুন।,
PPE,Safety_Helmet_2.webp,https://drive.google.com/file/d/1_MO2Z_fFuQfM5VSqLjkf2MPLJM49576o/view?usp=drivesdk,হেলমেট,মাথায় আঘাত থেকে রক্ষা পেতে ব্যবহৃত হয়।,450,স্ট্র্যাপটি শক্ত করে বেঁধে রাখুন। নিয়মিত হেলমেটের ফাটল পরীক্ষা করুন।,https://drive.google.com/file/d/1BBLJxqDZWg2JA1MlgVg9V-HUJnmYVa3j/view?usp=sharing
PPE,FRP_Ladder_2.webp,https://drive.google.com/file/d/1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7/view?usp=drivesdk,এফআরপি মই (ল্যাডার),বিদ্যুৎ পরিবাহী নয় এমন মই যা বৈদ্যুতিক কাজের জন্য নিরাপদ।,,"পিচ্ছিল জায়গায় মই রাখবেন না। মইয়ের উপরের ৩টি ধাপে দাঁড়াবেন না।",https://drive.google.com/file/d/1TWTDkwNAQPiU1ZdDONrocemeTppwnJMH/view?usp=sharing
PPE,Lanyard_Hook_4.webp,https://drive.google.com/file/d/1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a/view?usp=drivesdk,ল্যানিয়ার্ড হুক (হারনেস-এর একটি বিশেষ অংশ),হারনেস এবং অ্যাঙ্কর পয়েন্টের সংযোগকারী।,,লক সিস্টেমটি ঠিকভাবে কাজ করছে কিনা নিশ্চিত করুন।,
PPE,Safety_Goggles.webp,https://drive.google.com/file/d/1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd/view?usp=drivesdk,চোখের চশমা (সেফটি গগলস),ধুলো এবং উড়ান্ত কণা থেকে চোখ রক্ষা করতে ব্যবহৃত হয়।,250,লেন্সটি পরিষ্কার রাখুন। ঝাপসা হলে পরিষ্কার করুন।,
PPE,Lanyard_Hook_3.webp,https://drive.google.com/file/d/1tALpI6Qs6ImzmZUM1NNfHnSY3V9d4iIk/view?usp=drivesdk,ল্যানিয়ার্ড হুক (হারনেস-এর একটি বিশেষ অংশ),হারনেস এবং অ্যাঙ্কর পয়েন্টের সংযোগকারী।,,লক সিস্টেমটি ঠিকভাবে কাজ করছে কিনা নিশ্চিত করুন।,
PPE,Lineman_Boot_3.webp,https://drive.google.com/file/d/1ySsN6GFO8Rm-9M6jW1alVi_IgIzp5E9b/view?usp=drivesdk,সেফটি সু,বৈদ্যুতিক আঘাত এবং পা পিছলে পড়া রোধ করতে ব্যবহৃত হয়।,,ব্যবহারের পর পরিষ্কার রাখুন। সোলের কোনো ফুটো আছে কিনা দেখুন।,
PPE,Full_Body_Harness_Vest.webp,https://drive.google.com/file/d/1zZVnW3T_8EZVAyjLKn10GZlH2RFlsw_B/view?usp=drivesdk,রিফ্লেক্টিভ জ্যাকেট (ভেস্ট),রাতে বা অল্প আলোতে কর্মীর উপস্থিতি নিশ্চিত করতে ব্যবহৃত হয়।,,সবসময় চেইন বা ভেলক্রো লাগিয়ে কাজ করবেন।,
PPE,FRP_Ladder.webp,https://drive.google.com/file/d/192nnzGJvBs0v-aFa5QlWcuBkPAjcj4iH/view?usp=drivesdk,এফআরপি মই (ল্যাডার),বিদ্যুৎ পরিবাহী নয় এমন মই যা বৈদ্যুতিক কাজের জন্য নিরাপদ।,8500,"পিচ্ছিল জায়গায় মই রাখবেন না। মইয়ের উপরের ৩টি ধাপে দাঁড়াবেন না।",
PPE,Gumboot_2.webp,https://drive.google.com/file/d/1J0-c4BAjwlbOUoNrfOn-h4zVs1FUDYug/view?usp=drivesdk,গামবুট,জল বা কাদার মধ্যে কাজ করার জন্য ওয়াটারপ্রুফ জুতো।,750,জুতোয় জল ঢুকেছে কিনা চেক করুন।,
PPE,Full_Body_Harness.webp,https://drive.google.com/file/d/1n0SfeBNfoMrlGmiWH5k7axGa__oFAp-T/view?usp=drivesdk,সেফটি বেল্ট (হারনেস),উচ্চতায় কাজ করার সময় পতন রোধে ব্যবহৃত হয়।,2500,কোমরের বেল্ট এবং শোল্ডার স্ট্র্যাপ ঠিকভাবে টাইট করুন। ব্যবহারের আগে ডি-রিং পরীক্ষা করুন।,
PPE,Traffic_Cone_with_Chain.webp,https://drive.google.com/file/d/1xXsWEVB2mkhYZqwN-hC-XZaGlYheSGdH/view?usp=drivesdk,ট্র্যাফিক কোন ও চেইন,যানচলাচল নিয়ন্ত্রণ এবং কাজের জায়গা সুরক্ষিত করতে ব্যবহৃত হয়।,3000,দূর থেকে দৃশ্যমান এমন জায়গায় রাখুন।,
PPE,Copper_Shorting_Chain.webp,https://drive.google.com/file/d/13CDnu-6m778I9EERIIeN4ph2noFSEr2U/view?usp=drivesdk,কপার শর্টিং চেন,লাইনে কাজ করার আগে শর্টিং করার জন্য ব্যবহৃত হয়।	,4500,সংযোগটি টাইট এবং কার্যকর আছে কিনা দেখুন।,
PPE,Electrical_Gloves.webp,https://drive.google.com/file/d/1MAUYMbUWD91sOWrr2S07vFnLFke6hReM/view?usp=drivesdk,হ্যান্ড গ্লাভস (গ্লাভস),বৈদ্যুতিক লাইনে কাজ করার সময় হাতের সুরক্ষায়।,1200,"প্রতিটি ব্যবহারের আগে বাতাসের মাধ্যমে ফুটো পরীক্ষা করুন।",https://drive.google.com/file/d/1VONwRaCIY_evl7qzl-V-cPwER989T2_d/view?usp=sharing
PPE,Arc_Fire_Resistant_Full_Body_Vest.webp,https://drive.google.com/file/d/1UsgT9FrXx7c148VPL7mOk7_--FdnCClI/view?usp=drivesdk,রিফ্লেক্টিভ জ্যাকেট (ভেস্ট),রাতে বা অল্প আলোতে কর্মীর উপস্থিতি নিশ্চিত করতে ব্যবহৃত হয়।,,সবসময় চেইন বা ভেলক্রো লাগিয়ে কাজ করবেন।,
PPE,Brass_Shorting_Chain.webp,https://drive.google.com/file/d/1eGaUNv_BadZ1bz_xaksCBIDXEZ2xQqJ4/view?usp=drivesdk,কপার শর্টিং চেন,লাইনে কাজ করার আগে শর্টিং করার জন্য ব্যবহৃত হয়।	,4500,সংযোগটি টাইট এবং কার্যকর আছে কিনা দেখুন।,
PPE,Arc_Fire_Resistant_Full_Body_Vest_2.webp,https://drive.google.com/file/d/1p0xSFEgVjkLBi70v2p62UVgTgeItGl10/view?usp=drivesdk,রিফ্লেক্টিভ জ্যাকেট (ভেস্ট),রাতে বা অল্প আলোতে কর্মীর উপস্থিতি নিশ্চিত করতে ব্যবহৃত হয়।,,সবসময় চেইন বা ভেলক্রো লাগিয়ে কাজ করবেন।,
PPE,Arc_Fire_Resistant_Full_Body_Vest_3.webp,https://drive.google.com/file/d/1sLRN7VZhG-_JzjW241_sXZr0CkrLIF90/view?usp=drivesdk,রিফ্লেক্টিভ জ্যাকেট (ভেস্ট),রাতে বা অল্প আলোতে কর্মীর উপস্থিতি নিশ্চিত করতে ব্যবহৃত হয়।,,সবসময় চেইন বা ভেলক্রো লাগিয়ে কাজ করবেন।,
PPE,Cut_Resistant_Gloves.webp,https://drive.google.com/file/d/1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6/view?usp=drivesdk,কাট রেজিস্ট্যান্ট গ্লাভস,ধারালো যন্ত্রপাতির কোপ বা কাটা থেকে সুরক্ষা পেতে।	,550,"সঠিক মাপের গ্লাভস পরুন যাতে কাজ করতে সুবিধা হয়।",
PPE,Electrical_Gloves_2.webp,https://drive.google.com/file/d/1zkRXwc9XFks5jsXEEaw5jnDlIq2QXi2g/view?usp=drivesdk,হ্যান্ড গ্লাভস (গ্লাভস),বৈদ্যুতিক লাইনে কাজ করার সময় হাতের সুরক্ষায়।,1200,"প্রতিটি ব্যবহারের আগে বাতাসের মাধ্যমে ফুটো পরীক্ষা করুন।",https://drive.google.com/file/d/1VONwRaCIY_evl7qzl-V-cPwER989T2_d/view?usp=sharing
PPE,Bamboo_Ladder.webp,https://drive.google.com/file/d/1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5/view?usp=drivesdk,বাঁশের মই	,হালকা ওজনের এবং সাশ্রয়ী মই।,1200,"বাঁশটি শুকনো এবং মজবুত কিনা দেখুন। পচ ধরা বাঁশ এড়িয়ে চলুন।",https://drive.google.com/file/d/1TWTDkwNAQPiU1ZdDONrocemeTppwnJMH/view?usp=sharing
Tools,Non_Contact_Voltage_Tester_2.webp,https://drive.google.com/file/d/14kd0t6Bgigsom__5htI-ERZdO7ai2O0v/view?usp=drivesdk,টেস্টার (কন্টাক্টলেস)	,তার স্পর্শ না করেই বিদ্যুৎ উপস্থিতি শনাক্ত করে।,650,ব্যাটারি চালু আছে কিনা দেখতে প্রথমে জানা লাইভে টেস্ট করুন।,
Tools,High_Voltage_Detector_2.webp,https://drive.google.com/file/d/1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc/view?usp=drivesdk,হাই ভোল্টেজ ডিটেক্টর,হাই ভোল্টেজের উপস্থিতি শনাক্তকারী যন্ত্র।,15000,"সর্বদা ইনসুলেটেড রড বা স্টিক ব্যবহার করে চেক করুন।",
Tools,Analog_Insulation_Tester_Hand_Crank.webp,https://drive.google.com/file/d/1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr/view?usp=drivesdk,মেগার (ইনসুলেশন টেস্টার),তার বা মোটর এর ইনসুলেশন রেজিস্ট্যান্স চেক করতে।,8500,"ক্যাবল বা ডিভাইসের পাওয়ার পুরোপুরি বন্ধ করে টেস্ট করুন।",
Tools,Digital_Clamp_On_Meter.webp,https://drive.google.com/file/d/1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK/view?usp=drivesdk,ক্ল্যাম্প মিটার,তার না কেটে এসি/ডিসি কারেন্ট মাপার জন্য।,3500,"সঠিক রেঞ্জ নির্বাচন করুন। ক্ল্যাম্পটি পূর্ণভাবে বন্ধ করুন।",
Tools,Digital_Clamp_On_Meter_2.webp,https://drive.google.com/file/d/1Rz3eMVcEuQrm6O4U8860Ey4U2mVox1AR/view?usp=drivesdk,ক্ল্যাম্প মিটার,তার না কেটে এসি/ডিসি কারেন্ট মাপার জন্য।,3500,"সঠিক রেঞ্জ নির্বাচন করুন। ক্ল্যাম্পটি পূর্ণভাবে বন্ধ করুন।",
Tools,Phase_Sequence_Indicator.webp,https://drive.google.com/file/d/1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v/view?usp=drivesdk,ফেজ চেকার (সিকোয়েন্স)	,তিন ফেজ লাইনের সঠিক ক্রম (RYB) যাঁচাই করতে।	,2800,"ল্যাপগুলি সঠিক ক্রমে জ্বলছে কিনা যাঁচাই করুন।",
Tools,Partial_Discharge_Accoustic_Imager.webp,https://drive.google.com/file/d/1VVaIWA5Glq6Fc1gpxZId0kOIcp2I9glI/view?usp=drivesdk,অ্যাকোস্টিক ইমেজার,আল্ট্রাসনিক শব্দ শুনে পার্শিয়াল ডিসচার্জ খুঁজে বের করে।,125000,"হেডফোন ব্যবহার করে আওয়াজটি শনাক্ত করুন।",
Tools,Thermal_Imager_2.webp,https://drive.google.com/file/d/1ZHCEE91yTuKAFLtfTJIzWEGeP9hd4ke8/view?usp=drivesdk,থার্মাল ইমেজার	,তার বা কানেকশনের অস্বাভাবিক গরম হয়ে যাওয়া শনাক্ত করে।,45000,"সরাসরি লেন্সটি রোদে বা খুব আগুনের কাছে নিবেন না।",
Tools,Partial_Discharge_Accoustic_Imager_2.webp,https://drive.google.com/file/d/1ZRIFWu8DtRC0qK6jaW02Q4uBvgdgdC2_/view?usp=drivesdk,অ্যাকোস্টিক ইমেজার,আল্ট্রাসনিক শব্দ শুনে পার্শিয়াল ডিসচার্জ খুঁজে বের করে।,125000,"হেডফোন ব্যবহার করে আওয়াজটি শনাক্ত করুন।",
Tools,Analog_Insulation_Tester_Battery.webp,https://drive.google.com/file/d/1_Tpf8st_vMfJdadvIFuGLkIlqsWSQtJe/view?usp=drivesdk,মেগার (ইনসুলেশন টেস্টার),তার বা মোটর এর ইনসুলেশন রেজিস্ট্যান্স চেক করতে।,8500,"ক্যাবল বা ডিভাইসের পাওয়ার পুরোপুরি বন্ধ করে টেস্ট করুন।",
Tools,Multimeter_Digital_3.webp,https://drive.google.com/file/d/1bwj8c1cT7Hp3ezioZrfIgsAOd6DVVMic/view?usp=drivesdk,ডিজিটাল মাল্টিমিটার,"ভোল্টেজ, কারেন্ট এবং রেজিস্ট্যান্স পরিমাপের জন্য।",1500,"প্রোবগুলো সঠিক পোর্টে লাগান। ওভার-ভোল্টেজ চেক করবেন না।",
Tools,Digital_Earth_Tester.webp,https://drive.google.com/file/d/1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT/view?usp=drivesdk,আর্থ টেস্টার,মাটির রেজিস্ট্যান্স বা আর্থিং এর মান যাচাই করতে।,14000,"স্পাইকগুলো ভেজা মাটিতে সমান্তরাল ভাবে পুড়তে হবে।",
Tools,Analog_Insulation_Tester_Hand_Crank-1.webp,https://drive.google.com/file/d/1dKHMZRNzsABwyNekesNKaM28DFLzcLWp/view?usp=drivesdk,মেগার (ইনসুলেশন টেস্টার),তার বা মোটর এর ইনসুলেশন রেজিস্ট্যান্স চেক করতে।,8500,"ক্যাবল বা ডিভাইসের পাওয়ার পুরোপুরি বন্ধ করে টেস্ট করুন।",
Tools,Digital_Transformer_Turns_Ratio_Meter.webp,https://drive.google.com/file/d/1gIjMqtPr0ZwO2dHpNIgucG-QqfK8vgGv/view?usp=drivesdk,ট্রান্সফরমার রেশিও মিটার	,ট্রান্সফরমার এর টার্ন রেশিও নিখুঁতভাবে মাপতে।	,65000,"টেস্ট করার আগে কানেকশনগুলো ভাল করে চেক করুন।",
Tools,Multimeter_Digital.webp,https://drive.google.com/file/d/1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2/view?usp=drivesdk,ডিজিটাল মাল্টিমিটার,"ভোল্টেজ, কারেন্ট এবং রেজিস্ট্যান্স পরিমাপের জন্য।",1500,"প্রোবগুলো সঠিক পোর্টে লাগান। ওভার-ভোল্টেজ চেক করবেন না।",
Tools,High_Voltage_Detector.webp,https://drive.google.com/file/d/1s1KJUpFkYEE-LZ1OpSmPWDriXhaqSNyk/view?usp=drivesdk,হাই ভোল্টেজ ডিটেক্টর,হাই ভোল্টেজের উপস্থিতি শনাক্তকারী যন্ত্র।,15000,"সর্বদা ইনসুলেটেড রড বা স্টিক ব্যবহার করে চেক করুন।",
Tools,Multimeter_Digital_2.webp,https://drive.google.com/file/d/1vSgJCIPnUxajDSOHFpIORprZ1xGbF3gM/view?usp=drivesdk,ডিজিটাল মাল্টিমিটার,"ভোল্টেজ, কারেন্ট এবং রেজিস্ট্যান্স পরিমাপের জন্য।",1500,"প্রোবগুলো সঠিক পোর্টে লাগান। ওভার-ভোল্টেজ চেক করবেন না।",
Tools,Thermal_Imager.webp,https://drive.google.com/file/d/1wnOivkjQjM6ymZQ9LBxcgmMfQq0kS6p9/view?usp=drivesdk,থার্মাল ইমেজার	,তার বা কানেকশনের অস্বাভাবিক গরম হয়ে যাওয়া শনাক্ত করে।,45000,"সরাসরি লেন্সটি রোদে বা খুব আগুনের কাছে নিবেন না।",
Charts,Transformer_Current_Chart.webp,https://drive.google.com/file/d/15jgQkFfi4qcO9cLJIZb5RKTMpUqEGe0W/view?usp=sharing,ট্রান্সফরমার কারেন্ট রেটিং চার্ট,ট্রান্সফরমার KVA অনুযায়ী কারেন্ট রেটিং যাচাই করুন। kVA-এর সাথে শর্টকাট গুণ করে কারেন্ট বের করুন।  ,,,
Charts,DTR_Fuse_Chart.webp,https://drive.google.com/file/d/1Wi_uYkjkg1SAKVBCfI6rKObPWCDnxeds/view?usp=sharing,ডিটিআর ফিউজ রেটিং চার্ট,১১ কেভি এবং এলটি সাইডের জন্য সঠিক ফিউজ তার (SWG) নির্বাচনের গাইড।,,,
Charts,Safety_Distance_Chart.webp,https://drive.google.com/file/d/1mrSIWBKnjgrKTmMPUa2lGOWL6eJ1Jd62/view?usp=sharing,নিরাপদ দূরত্বের চার্ট,"রাস্তা, বিল্ডিং এবং লাইভ পার্ট থেকে এলটি ও এইচটি লাইনের নিরাপদ দূরত্বের গাইড।",,,
PPE,Arc Flash Face Shield.png,https://drive.google.com/file/d/1NU5KJYvyGcXpdFFB-FkVj5MmOWcMwRsb/view?usp=sharing,আর্ক ফ্ল্যাশ ফেস শিল্ড,ফিউজ অপারেট বা সুইচিংয়ের সময় হঠাৎ বিদ্যুৎ স্ফুলিঙ্গ (Arc Flash) থেকে মুখমন্ডলকে রক্ষা করা।,3500,"সাধারণ হেলমেট বা চশমা আর্ক ফ্ল্যাশের তীব্র তাপ রোধ করতে পারে না, তাই এই বিশেষ শিল্ডটি ব্যবহার করা জরুরি।",
PPE,Arc Flash Face Shield_1.png,https://drive.google.com/file/d/1PW5O5yGIDkEEDaPOvEo-adN4a-wFMF2G/view?usp=sharing,আর্ক ফ্ল্যাশ ফেস শিল্ড,ফিউজ অপারেট বা সুইচিংয়ের সময় হঠাৎ বিদ্যুৎ স্ফুলিঙ্গ (Arc Flash) থেকে মুখমন্ডলকে রক্ষা করা।,3500,"সাধারণ হেলমেট বা চশমা আর্ক ফ্ল্যাশের তীব্র তাপ রোধ করতে পারে না, তাই এই বিশেষ শিল্ডটি ব্যবহার করা জরুরি।",
PPE,Arc Flash Face Shield_3.png,https://drive.google.com/file/d/1xuhM-NxFx95y_p77Y6fJ_7i7blqfkyL9/view?usp=sharing,আর্ক ফ্ল্যাশ ফেস শিল্ড,ফিউজ অপারেট বা সুইচিংয়ের সময় হঠাৎ বিদ্যুৎ স্ফুলিঙ্গ (Arc Flash) থেকে মুখমন্ডলকে রক্ষা করা।,3500,"সাধারণ হেলমেট বা চশমা আর্ক ফ্ল্যাশের তীব্র তাপ রোধ করতে পারে না, তাই এই বিশেষ শিল্ডটি ব্যবহার করা জরুরি।",
Tools,come_along_clamp.webp,https://drive.google.com/file/d/1qB2r3FmwBNPIxQPQhON4ZRP4z4W1JnRp/view?usp=sharing,ওয়্যার গ্রিপ বা কাম এলং ক্ল্যাম্প,ACSR বা AB ক্যাবল টানার সময় বা টান দিয়ে রাখার সময় তারটি মজবুতভাবে ধরতে এটি ব্যবহৃত হয়।,4800,তারের সাইজ অনুযায়ী সঠিক সাইজের গ্রিপ ব্যবহার করুন যাতে তারের ক্ষতি না হয়।,
Tools,Hydraulic Crimping Tool.webp,https://drive.google.com/file/d/1ph1HlGtDILcPhA7Prdjm1woSMkT9jlbq/view?usp=sharing,হাইড্রোলিক ক্রিম্পিং টুল,ক্যাবলের মাথায় লাগ (Lugs) বা জয়েন্টগুলো নিখুঁতভাবে চাপ দিয়ে লাগানোর জন্য।,7500,ক্রিম্পিং করার পর কানেকশনটি টেনে দেখুন তা ঠিকমতো লেগেছে কি না।,
Tools,Hydraulic Crimping Tool_1.webp,https://drive.google.com/file/d/1EOb7wHq_TAOVzd-RMrhJ7eHTd93I9lMf/view?usp=sharing,হাইড্রোলিক ক্রিম্পিং টুল,ক্যাবলের মাথায় লাগ (Lugs) বা জয়েন্টগুলো নিখুঁতভাবে চাপ দিয়ে লাগানোর জন্য।,7500,ক্রিম্পিং করার পর কানেকশনটি টেনে দেখুন তা ঠিকমতো লেগেছে কি না।,
Tools,Chain Hoist Pulley.webp,https://drive.google.com/file/d/1Gqr9P1QQ6uIOZ4YjBekaR8dbb0SouEDx/view?usp=sharing,চেন পুলি (১-২ টন ক্ষমতা সম্পন্ন),ভারী ট্রান্সফর্মার বা মালামাল ওঠানো এবং তারের টান (Tensioning) দেওয়ার জন্য।,15000,লোড দেওয়ার আগে হুক এবং চেইনটি পিচ্ছিল (Greased) আছে কি না দেখুন।,
Tools,Insulated Hand Tools Set.webp,https://drive.google.com/file/d/1HNyXF76GKzNFWWP1J8EabNv3nkGankU6/view?usp=sharing,ইনসুলেটেড হ্যান্ড টুলস সেট,"১০০০ ভোল্ট পর্যন্ত লাইভ লাইনে কাজ করার জন্য বিশেষ ইনসুলেটেড প্লায়ার্স, কাটার এবং স্ক্রু-ড্রাইভার।",3000,হ্যান্ডেলের ইনসুলেশন কোথাও ফেটে গেলে বা ছিঁড়ে গেলে সেটি আর লাইভ লাইনে ব্যবহার করবেন না।,
